RecId	Type	Shape_area	LambertX	LambertY	BlockID	ParcelID	parcel_area	parcel_cover	centroid	has_front_garden	num_neighbours	num_facades	distance_to_bus_stop	distance_to_train_station	distance_to_kindergarten	distance_to_school
4350199	ON	7.9747	147785.39508632032	189509.28212246622	138233.0	5783453.0	233.0745	41.07	POINT (147785.3950863203 189509.2821224662)	True	2.0	2.0	0.0	0.0	0.0	0.0
4350200	CL	109.4653	147586.03630671438	189186.77737104436	138242.0	5782393.0	717.3892	19.01	POINT (147586.0363067144 189186.7773710444)	False	1.0	3.0	0.0	0.0	0.0	0.0
4350201	CL	11.9374	147573.28947155917	189178.91699925493	138242.0	5782393.0	717.3892	19.01	POINT (147573.2894715592 189178.9169992549)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350202	ON	15.0007	147577.69392969803	189179.84464480844	138242.0	5782393.0	717.3892	19.01	POINT (147577.693929698 189179.8446448084)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350203	CL	80.1282	147693.56202558463	189575.862385102	138233.0	5783028.0	347.1554	32.89	POINT (147693.5620255846 189575.862385102)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350204	CL	34.0683	147692.8468969841	189564.70042192636	138233.0	5783028.0	347.1554	32.89	POINT (147692.8468969841 189564.7004219264)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350205	CL	118.4325	147963.95525882143	189299.678971859	138239.0	5782989.0	785.1177	15.08	POINT (147963.9552588214 189299.678971859)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350206	CL	69.6055	147679.11800258135	189261.85065292002	138239.0	5783400.0	171.4209	67.01	POINT (147679.1180025814 189261.85065292)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350207	CL	45.2566	147678.05355983495	189245.6481307883	138239.0	5783400.0	171.4209	67.01	POINT (147678.053559835 189245.6481307883)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350208	CL	171.1264	147359.32127290274	188939.7033751422	138242.0	5783073.0	449.547	38.07	POINT (147359.3212729027 188939.7033751422)	False	2.0	2.0	0.0	0.0	661.767	661.767
4350209	CL	71.9767	147581.55152266897	188993.57225652444	138242.0	5783345.0	1139.0912	12.18	POINT (147581.551522669 188993.5722565244)	False	1.0	3.0	0.0	0.0	661.767	661.767
4350210	CL	66.7765	147576.75026790515	189003.06075850388	138242.0	5783345.0	1139.0912	12.18	POINT (147576.7502679052 189003.0607585039)	True	1.0	3.0	0.0	0.0	661.767	661.767
4350211	CL	84.6327	147795.76066105303	189506.69369230734	138233.0	5783366.0	321.9425	29.68	POINT (147795.760661053 189506.6936923073)	True	2.0	2.0	0.0	0.0	0.0	0.0
4350212	CL	10.911	147795.29700228618	189516.31640018913	138233.0	5783366.0	321.9425	29.68	POINT (147795.2970022862 189516.3164001891)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350213	CL	165.8442	147337.87919976792	188996.4733791902	138235.0	5783508.0	814.1761	20.37	POINT (147337.8791997679 188996.4733791902)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350214	CL	167.017	147157.42435982873	190138.23999902688	138235.0	5782426.0	733.9837	24.85	POINT (147157.4243598287 190138.2399990269)	False	0.0	4.0	0.0	0.0	0.0	0.0
4350215	CL	15.3495	147150.49300647	190121.33150563663	138235.0	5782426.0	733.9837	24.85	POINT (147150.49300647 190121.3315056366)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350216	CL	99.0297	147978.7024936487	189253.4146687332	138239.0	5782709.0	741.3355	17.45	POINT (147978.7024936487 189253.4146687332)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350217	CL	30.3148	147987.89369408882	189238.5565499905	138239.0	5782709.0	741.3355	17.45	POINT (147987.8936940888 189238.5565499905)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350218	CL	34.4578	147587.39677656733	189524.71775592657	138235.0	5783697.0	43.3359	79.51	POINT (147587.3967765673 189524.7177559266)	False	1.0	3.0	0.0	0.0	0.0	0.0
4350219	CL	134.2732	147631.86499968838	189414.84912660645	138235.0	5782656.0	339.9362	39.5	POINT (147631.8649996884 189414.8491266065)	False	1.0	3.0	0.0	0.0	0.0	0.0
4350220	CL	71.0555	147533.60180387538	189381.3078919468	138235.0	5783116.0	381.3867	25.82	POINT (147533.6018038754 189381.3078919468)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350221	CL	27.4212	147526.21777292583	189371.89295671845	138235.0	5783116.0	381.3867	25.82	POINT (147526.2177729258 189371.8929567185)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350222	CL	125.9952	147219.240550851	188946.344212706	138235.0	5782606.0	1420.4106	8.87	POINT (147219.240550851 188946.344212706)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350223	CL	84.5258	147378.00614235114	188888.03915621995	138246.0	5783059.0	84.5258	100.0	POINT (147378.0061423511 188888.03915622)	True	1.0	3.0	0.0	0.0	661.767	661.767
4350224	CL	11.6606	147524.03129084143	190150.19849585646	138232.0	5783549.0	10990.1972	0.11	POINT (147524.0312908414 190150.1984958565)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350225	CL	28.4667	148054.53943872714	189457.10668565208	138241.0	5782886.0	1768.7215	2.38	POINT (148054.5394387271 189457.1066856521)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350226	CL	13.6888	148066.7651669707	189463.8290611203	138241.0	5782886.0	1768.7215	2.38	POINT (148066.7651669707 189463.8290611203)	True	0.0	4.0	0.0	0.0	0.0	0.0
4350227	CL	54.5694	147621.77134002076	189093.40451417933	138239.0	5783702.0	185.5761	29.41	POINT (147621.7713400208 189093.4045141793)	False	2.0	2.0	0.0	0.0	0.0	0.0
4350228	CL	86.4274	147390.33553178344	189052.59434809184	138242.0	5783409.0	1076.0779	8.03	POINT (147390.3355317834 189052.5943480918)	True	1.0	3.0	0.0	0.0	0.0	0.0
4350229	CL	101.1112	147834.05014886626	188985.99546818621	138240.0	5783046.0	520.2262	19.44	POINT (147834.0501488663 188985.9954681862)	True	0.0	4.0	0.0	0.0	661.767	661.767
